action,note,action_file_descriptions,owner_type,exists,archived,disabled,created_at,last_pushed_at,description,stars,first_release_tag,first_release_date,latest_release_tag,latest_release_date,fork,action_yml_list,Num_of_files,file_structure,Features_raw,features_cleaned
fkirc/skip-duplicate-actions,,"['Skip duplicate workflow runs. Skip or ignore specific paths. Cancel outdated workflow runs.', 'Your GitHub Access Token', 'A JSON-array with ignored path patterns', 'A JSON-array with path patterns', 'A YAML-string with named paths_ignore/paths patterns', 'If true, then workflow runs from outdated commits will be cancelled', 'If true, skip if an already finished duplicate run can be found', 'A JSON-array with triggers that should never be skipped', 'One of never, same_content, same_content_newer, outdated_runs, always', 'If true, make the workflow logs shorter', 'Returns true if the current run should be skipped according to your configured rules', 'The reason why the current run is considered skippable or unskippable', 'Returns information about the workflow run which caused the current run to be skipped', 'A two-dimensional array, with a list of changed files for each commit that was traced back', 'Returns information for each configured filter in paths_filter']",User,True,False,False,2020-09-19,2024-10-08,Save time and cost when using GitHub Actions,536.0,v1.0.0,2020-09-20,v5.3.1,2023-10-21,False,"[{'name': 'Skip Duplicate Actions', 'description': 'Skip duplicate workflow runs. Skip or ignore specific paths. Cancel outdated workflow runs.', 'author': 'fkirc', 'branding': {'icon': 'stop-circle', 'color': 'white'}, 'inputs': {'github_token': {'description': 'Your GitHub Access Token', 'required': True, 'default': '${{ github.token }}'}, 'paths_ignore': {'description': 'A JSON-array with ignored path patterns', 'required': False, 'default': '[]'}, 'paths': {'description': 'A JSON-array with path patterns', 'required': False, 'default': '[]'}, 'paths_filter': {'description': 'A YAML-string with named paths_ignore/paths patterns', 'required': False}, 'cancel_others': {'description': 'If true, then workflow runs from outdated commits will be cancelled', 'required': False, 'default': 'false'}, 'skip_after_successful_duplicate': {'description': 'If true, skip if an already finished duplicate run can be found', 'required': False, 'default': 'true'}, 'do_not_skip': {'description': 'A JSON-array with triggers that should never be skipped', 'required': False, 'default': '[""workflow_dispatch"", ""schedule"", ""merge_group""]'}, 'concurrent_skipping': {'description': 'One of never, same_content, same_content_newer, outdated_runs, always', 'required': True, 'default': 'never'}, 'skip_summary': {'description': 'If true, make the workflow logs shorter', 'required': False, 'default': 'false'}}, 'outputs': {'should_skip': {'description': 'Returns true if the current run should be skipped according to your configured rules'}, 'reason': {'description': 'The reason why the current run is considered skippable or unskippable'}, 'skipped_by': {'description': 'Returns information about the workflow run which caused the current run to be skipped'}, 'changed_files': {'description': 'A two-dimensional array, with a list of changed files for each commit that was traced back'}, 'paths_result': {'description': 'Returns information for each configured filter in paths_filter'}}, 'runs': {'using': 'node20', 'main': 'dist/index.js'}}]",,,"['\n    ""Skip duplicate workflow runs"",\n    ""Cancel outdated workflow runs"",\n    ""Ignore specific paths"",\n    ""Configure ignored path patterns"",\n    ""Configure path patterns"",\n    ""Cancel outdated commits"",\n    ""Skip finished duplicate runs"",\n    ""Configure non-skippable triggers"",\n    ""Configure skip rules"",\n    ""Shorten workflow logs"",\n    ""Determine skippable runs"",\n    ""Provide skip reason"",\n    ""Retrieve skipped workflow run information"",\n    ""Retrieve changed files for each commit"",\n    ""Retrieve filter information for paths_filter""\n']",['skip duplicate workflow run cancel outdated workflow run ignore specific path configure ignored path pattern configure path pattern cancel outdated commits skip finished duplicate run configure nonskippable trigger configure skip rule shorten workflow log determine skippable run pullrequestovide skip reason retrieve skipped workflow run information retrieve changed file commit retrieve filter information pathsfilter']
fnkr/github-action-ghr,,['Upload build artifacts to GitHub releases.'],User,True,False,False,2019-04-06,2022-02-15,GitHub Action to upload build artifacts to GitHub releases.,62.0,v1.0,2019-04-08,v1.3,2020-02-04,False,"[{'name': 'GitHub Releases', 'description': 'Upload build artifacts to GitHub releases.', 'branding': {'icon': 'tag', 'color': 'black'}, 'runs': {'using': 'docker', 'image': 'Dockerfile'}}]",,,"['upload_build_artifacts', 'integration_with_GitHub', 'release_management']","['uploadbuildartifacts', 'integrationwithgithub', 'releasemanagement']"
forensicmike/pyinstaller-action-windows,releases error: malformed node or string: nan tags only (no formal releases),"['Customisable GitHub Action to package your python code with PyInstaller for Windows', 'Directory containing source code (optional requirements.txt).', 'Specify a custom URL for PYPI', 'Specify a custom URL for PYPI Index', 'Specify a file path for .spec file', 'The output of PyInstaller']",User,True,False,False,2021-01-22,2021-01-23,Github Action for building executables with Pyinstaller,0.0,0.1.0a1,,v0.1.2,,True,"[{'name': 'PyInstaller Windows', 'description': 'Customisable GitHub Action to package your python code with PyInstaller for Windows', 'branding': {'icon': 'box', 'color': 'blue'}, 'inputs': {'path': {'description': 'Directory containing source code (optional requirements.txt).', 'required': True, 'default': 'src'}, 'pypi_url': {'description': 'Specify a custom URL for PYPI', 'required': False, 'default': 'https://pypi.python.org/'}, 'pypi_index_url': {'description': 'Specify a custom URL for PYPI Index', 'required': False, 'default': 'https://pypi.python.org/simple'}, 'spec': {'description': 'Specify a file path for .spec file', 'required': False, 'default': ''}}, 'outputs': {'output': {'description': 'The output of PyInstaller'}}, 'runs': {'using': 'docker', 'image': 'Dockerfile', 'args': ['${{ inputs.path }}', '${{ inputs.pypi_url }}', '${{ inputs.pypi_index_url }}', '${{ inputs.spec }}']}}]",,,"['\n    ""Customisable GitHub Action"",\n    ""PyInstaller packaging"",\n    ""Windows support"",\n    ""Directory source code management"",\n    ""Requirements.txt management"",\n    ""Custom PYPI URL specification"",\n    ""Custom PYPI Index URL specification"",\n    ""Custom .spec file path specification"",\n    ""PyInstaller output management""\n']",['customisable github action pyinstaller packaging window support directory source code management requirementstxt management custom pypi url specification custom pypi index url specification custom spec file path specification pyinstaller output management']
fossa-contrib/fossa-action,,['Actions for running FOSSA scans'],Organization,True,False,False,2020-09-26,2026-05-25,"The action sets up and caches the latest release of fossa-cli, infer the correct configuration from the current system state, analyze the project for a list of its dependencies, and upload the results to FOSSA.",16.0,v1.0.0,2020-09-26,v3.0.1,2025-03-19,False,"[{'name': 'Fossa Action', 'description': 'Actions for running FOSSA scans', 'author': 'Sora Morimoto', 'branding': {'icon': 'package', 'color': 'gray-dark'}, 'inputs': {'fossa-api-key': {'required': True}, 'github-token': {'required': False, 'default': '${{ github.token }}'}, 'endpoint': {'required': False}, 'skip-test': {'required': False, 'default': True}}, 'runs': {'using': 'node24', 'main': 'dist/index.js'}}]",,,"['FOSSA scan initiation', 'FOSSA scan execution', 'FOSSA scan automation']","['fossa scan initiation', 'fossa scan execution', 'fossa scan automation']"
fossas/fossa-action,,"['Find license compliance and security issues in your applications with FOSSA', 'Your FOSSA API key.', 'If set, use the specified FOSSA Cli version.', 'If set to `true` FOSSA will run the `fossa test` command.', ""A container name or OCI image path.  Set to use FOSSA's container scanning functionality. This will run `fossa container analyze` (default behavior) and `fossa container test` (if used in combination with `run-tests`)."", 'Endpoint passed to FOSSA CLI. Defaults to `app.fossa.com`.', 'Override the detected FOSSA project branch. If running FOSSA analysis on a Pull Request, as a start you can use the contexts `github.ref` or `github.ref_name`.', 'Override the detected FOSSA project name. If running FOSSA analysis on a Pull Request, as a start you can use the contexts `github.ref` or `github.ref_name`.', 'Allows you to specify the team for your project. It uses the team name, just as `--team` in the CLI. This will only work when creating a project.', 'Allows you to specify the policy for your project. It uses the policy name, just as `--policy` in the CLI. This will only work when creating a project.', 'Run all FOSSA commands in debug mode. Running `fossa analyze` in debug mode will generate a debug bundle that can be uploaded as a build artifact after this action completes.', 'Run fossa test with the `--diff <revision>` option, which checks if there are new issues relative to `<revision>`. Requires `run-tests` to be set in order to take effect.', 'If set, after analyzing your project, FOSSA will generate a report which is accessible from the `report` step output. The value must be a [report format](https://github.com/fossas/fossa-cli/blob/master/docs/references/subcommands/report.md#specifying-a-report-format). Currently only the attribution report is supported.', 'The directory to analyze', 'If `generate-report` is provided, this will contain the string contents of the report in the requested format.']",Organization,True,False,False,2021-03-17,2026-05-13,Find license compliance and security issues in your applications with FOSSA and GitHub Actions.,69.0,v1.1.0,2021-09-28,v1.9.0,2026-03-31,False,"[{'name': 'Official FOSSA Action', 'description': 'Find license compliance and security issues in your applications with FOSSA', 'author': 'Solomon Rubin', 'inputs': {'api-key': {'description': 'Your FOSSA API key.', 'required': True}, 'pinned-cli-version': {'description': 'If set, use the specified FOSSA Cli version.', 'required': False}, 'run-tests': {'description': 'If set to `true` FOSSA will run the `fossa test` command.', 'default': False}, 'container': {'description': ""A container name or OCI image path.  Set to use FOSSA's container scanning functionality. This will run `fossa container analyze` (default behavior) and `fossa container test` (if used in combination with `run-tests`)."", 'required': False}, 'endpoint': {'description': 'Endpoint passed to FOSSA CLI. Defaults to `app.fossa.com`.', 'required': False}, 'branch': {'description': 'Override the detected FOSSA project branch. If running FOSSA analysis on a Pull Request, as a start you can use the contexts `github.ref` or `github.ref_name`.', 'required': False}, 'project': {'description': 'Override the detected FOSSA project name. If running FOSSA analysis on a Pull Request, as a start you can use the contexts `github.ref` or `github.ref_name`.', 'required': False}, 'team': {'description': 'Allows you to specify the team for your project. It uses the team name, just as `--team` in the CLI. This will only work when creating a project.', 'required': False}, 'policy': {'description': 'Allows you to specify the policy for your project. It uses the policy name, just as `--policy` in the CLI. This will only work when creating a project.'}, 'debug': {'description': 'Run all FOSSA commands in debug mode. Running `fossa analyze` in debug mode will generate a debug bundle that can be uploaded as a build artifact after this action completes.', 'default': False}, 'test-diff-revision': {'description': 'Run fossa test with the `--diff <revision>` option, which checks if there are new issues relative to `<revision>`. Requires `run-tests` to be set in order to take effect.', 'required': False}, 'generate-report': {'description': 'If set, after analyzing your project, FOSSA will generate a report which is accessible from the `report` step output. The value must be a [report format](https://github.com/fossas/fossa-cli/blob/master/docs/references/subcommands/report.md#specifying-a-report-format). Currently only the attribution report is supported.', 'required': False}, 'working-directory': {'description': 'The directory to analyze', 'required': False}}, 'outputs': {'report': {'description': 'If `generate-report` is provided, this will contain the string contents of the report in the requested format.'}}, 'runs': {'using': 'node24', 'main': 'dist/index.js'}, 'branding': {'icon': 'check-circle', 'color': 'green'}}]",,,"['\n    ""License Compliance"",\n    ""Security Issues Detection"",\n    ""Container Scanning"",\n    ""Vulnerability Testing"",\n    ""Project Branch Detection"",\n    ""Project Name Detection"",\n    ""Team Specification"",\n    ""Policy Specification"",\n    ""Debug Mode"",\n    ""Diff Analysis"",\n    ""Report Generation"",\n    ""Directory Analysis"",\n    ""API Key Management"",\n    ""CLI Version Management"",\n    ""Endpoint Management""\n']",['license compliance security issue detection container scanning vulnerability testing pullrequestoject branch detection pullrequestoject name detection team specification policy specification debug mode diff analysis report generation directory analysis api key management cli version management endpoint management']
fountainhead/action-wait-for-check,,"['Wait for another GitHub check to complete', 'The GitHub token to use for making API requests.', 'The name of the GitHub check to wait for. For example, `build` or `deploy`.', 'The Git ref of the commit you want to poll for a passing check.', 'The name of the GitHub repository you want to poll for a passing check.', 'The owner of the GitHub repository you want to poll for a passing check.', 'The number of seconds to wait for the check to complete.', 'The number of seconds to wait before each poll of the GitHub API.']",Organization,True,False,False,2020-01-13,2024-03-15,A GitHub Action that waits for another Check Run to have completed,127.0,v1.0.0,2020-01-13,v1.2.0,2024-03-15,False,"[{'name': 'Wait For Check', 'description': 'Wait for another GitHub check to complete', 'author': 'Fountainhead Technologies Ltd.', 'branding': {'icon': 'check-circle', 'color': 'green'}, 'inputs': {'token': {'description': 'The GitHub token to use for making API requests.', 'required': True}, 'checkName': {'description': 'The name of the GitHub check to wait for. For example, `build` or `deploy`.', 'required': True}, 'ref': {'description': 'The Git ref of the commit you want to poll for a passing check.'}, 'repo': {'description': 'The name of the GitHub repository you want to poll for a passing check.'}, 'owner': {'description': 'The owner of the GitHub repository you want to poll for a passing check.'}, 'timeoutSeconds': {'description': 'The number of seconds to wait for the check to complete.'}, 'intervalSeconds': {'description': 'The number of seconds to wait before each poll of the GitHub API.'}}, 'runs': {'using': 'node20', 'main': 'dist/index.js'}}]",,,"['\n    ""Wait for GitHub check completion"",\n    ""GitHub API token usage"",\n    ""GitHub check name specification"",\n    ""Git ref commit polling"",\n    ""GitHub repository name specification"",\n    ""GitHub repository owner specification"",\n    ""Timeout setting for check completion"",\n    ""Polling interval setting for GitHub API""\n']",['wait github check completion github api token usage github check name specification git ref commit polling github repository name specification github repository owner specification timeout setting check completion polling interval setting github api']
fregante/setup-git-user,,['Sets the Git user and email to enable committing'],User,True,False,False,2020-10-19,2024-07-17,GitHub Action that sets the git user and email to enable commiting,103.0,v1,2020-10-19,v2.0.2,2024-07-17,False,"[{'name': 'Setup Git user', 'description': 'Sets the Git user and email to enable committing', 'author': 'Federico Brigante', 'branding': {'icon': 'chevron-up', 'color': 'yellow'}, 'runs': {'using': 'composite', 'steps': [{'shell': 'bash', 'run': 'git config user.name github-actions[bot]\ngit config user.email 41898282+github-actions[bot]@users.noreply.github.com\n'}]}}]",,,"['Git user setup', 'Git email setup', 'committing enablement']","['git user setup', 'git email setup', 'committing enablement']"
frouioui/paths-filter,releases error: malformed node or string: nan tags only (no formal releases),"['Execute your workflow steps only if relevant files are modified.', 'GitHub Access Token', 'Relative path under $GITHUB_WORKSPACE where the repository was checked out.', 'Git reference (e.g. branch name) from which the changes will be detected.\nThis option is ignored if action is triggered by pull_request event.\n', 'Git reference (e.g. branch name) against which the changes will be detected. Defaults to repository default branch (e.g. master).\nIf it references same branch it was pushed to, changes are detected against the most recent commit before the push.\nThis option is ignored if action is triggered by pull_request event.\n', 'Path to the configuration file or YAML string with filters definition', ""Enables listing of files matching the filter:\n  'none'  - Disables listing of matching files (default).\n  'csv'   - Coma separated list of filenames.\n            If needed it uses double quotes to wrap filename with unsafe characters.\n  'json'  - Serialized as JSON array.\n  'shell' - Space delimited list usable as command line argument list in linux shell.\n            If needed it uses single or double quotes to wrap filename with unsafe characters.\n  'escape'- Space delimited list usable as command line argument list in linux shell.\n            Backslash escapes every potentially unsafe character.\n"", 'How many commits are initially fetched from base branch.\nIf needed, each subsequent fetch doubles the previously requested number of commits\nuntil the merge-base is found or there are no more commits in the history.\nThis option takes effect only when changes are detected using git against different base branch.\n', 'JSON array with names of all filters matching any of changed files']",User,True,False,False,2022-04-19,2024-02-15,"Conditionally run actions based on files modified by PR, feature branch or pushed commits",0.0,v1,,v2.10.2,,True,"[{'name': 'Paths Changes Filter', 'description': 'Execute your workflow steps only if relevant files are modified.', 'author': 'Michal Dorner <dorner.michal@gmail.com>', 'inputs': {'token': {'description': 'GitHub Access Token', 'required': False, 'default': '${{ github.token }}'}, 'working-directory': {'description': 'Relative path under $GITHUB_WORKSPACE where the repository was checked out.', 'required': False}, 'ref': {'description': 'Git reference (e.g. branch name) from which the changes will be detected.\nThis option is ignored if action is triggered by pull_request event.\n', 'required': False}, 'base': {'description': 'Git reference (e.g. branch name) against which the changes will be detected. Defaults to repository default branch (e.g. master).\nIf it references same branch it was pushed to, changes are detected against the most recent commit before the push.\nThis option is ignored if action is triggered by pull_request event.\n', 'required': False}, 'filters': {'description': 'Path to the configuration file or YAML string with filters definition', 'required': True}, 'list-files': {'description': ""Enables listing of files matching the filter:\n  'none'  - Disables listing of matching files (default).\n  'csv'   - Coma separated list of filenames.\n            If needed it uses double quotes to wrap filename with unsafe characters.\n  'json'  - Serialized as JSON array.\n  'shell' - Space delimited list usable as command line argument list in linux shell.\n            If needed it uses single or double quotes to wrap filename with unsafe characters.\n  'escape'- Space delimited list usable as command line argument list in linux shell.\n            Backslash escapes every potentially unsafe character.\n"", 'required': False, 'default': 'none'}, 'initial-fetch-depth': {'description': 'How many commits are initially fetched from base branch.\nIf needed, each subsequent fetch doubles the previously requested number of commits\nuntil the merge-base is found or there are no more commits in the history.\nThis option takes effect only when changes are detected using git against different base branch.\n', 'required': False, 'default': '100'}}, 'outputs': {'changes': {'description': 'JSON array with names of all filters matching any of changed files'}}, 'runs': {'using': 'node20', 'main': 'dist/index.js'}, 'branding': {'color': 'blue', 'icon': 'filter'}}]",,,"['\n    ""Conditional workflow execution based on file modifications"",\n    ""GitHub authentication using Access Token"",\n    ""Repository checkout path"",\n    ""Git reference for change detection"",\n    ""Base branch for change detection"",\n    ""Configuration file or YAML string for filters"",\n    ""File listing format (none', 'csv', 'json', 'shell', 'escape)"",\n    ""Initial commit fetch count"",\n    ""Filter names for changed files""\n']","['conditional workflow execution based file modification github authentication using access token repository checkout path git reference change detection base branch change detection configuration file yaml string filter file listing format none', 'csv', 'json', 'shell', 'escape initial commit fetch count filter name changed file']"
futuratrepadeira/changed-files,,"['Exports the files created, modified or deleted by a PR', 'The GITHUB_TOKEN secret', 'A regular expression to filter the outputs by.', 'The pull request number (if absent, the pull request is inferred from the given context).', ""The encoding for the output values, either 'string' (default) or 'json'."", 'Indicates whether a file has changed (boolean)', 'The names of the newly created files', 'The number of newly created files', 'The names of the updated files', 'The number of updated files', 'The names of the deleted files', 'The number of deleted files', 'The sum of all `files_*_count` outputs']",Organization,True,False,False,2019-09-02,2026-02-03,GitHub action to export a PR's changed files,27.0,v1,2019-09-13,v4.2.0,2024-04-22,False,"[{'name': 'Changed Files Exporter', 'description': 'Exports the files created, modified or deleted by a PR', 'author': 'Duarte Nunes <duarte at fastmail.com>', 'inputs': {'repo-token': {'description': 'The GITHUB_TOKEN secret', 'required': True, 'default': '${{ github.token }}'}, 'pattern': {'description': 'A regular expression to filter the outputs by.', 'required': False, 'default': '.*'}, 'pr-number': {'description': 'The pull request number (if absent, the pull request is inferred from the given context).'}, 'result-encoding': {'required': False, 'description': ""The encoding for the output values, either 'string' (default) or 'json'.""}}, 'outputs': {'changed': {'description': 'Indicates whether a file has changed (boolean)'}, 'files_created': {'description': 'The names of the newly created files'}, 'files_created_count': {'description': 'The number of newly created files'}, 'files_updated': {'description': 'The names of the updated files'}, 'files_updated_count': {'description': 'The number of updated files'}, 'files_deleted': {'description': 'The names of the deleted files'}, 'files_deleted_count': {'description': 'The number of deleted files'}, 'total_modified_count': {'description': 'The sum of all `files_*_count` outputs'}}, 'runs': {'using': 'node20', 'main': 'dist/index.js'}, 'branding': {'icon': 'wind', 'color': 'green'}}]",,,"['\n    ""Export files"",\n    ""Filter outputs using regular expression"",\n    ""Infer pull request from context"",\n    ""Specify pull request number"",\n    ""Output encoding"",\n    ""Indicate file changes"",\n    ""List newly created files"",\n    ""Count newly created files"",\n    ""List updated files"",\n    ""Count updated files"",\n    ""List deleted files"",\n    ""Count deleted files"",\n    ""Calculate total file changes""\n']",['export file filter output using regular expullrequestession infer pull request context specify pull request number output encoding indicate file change list newly created file count newly created file list updated file count updated file list deleted file count deleted file calculate total file change']
game-ci/steam-deploy,,"['Deploy game builds to Steam using the SteamSDK.', 'The username of your builder account.', 'The password of your builder account. Required if `totp` is set.', 'The TOTP to use for login. If set, `configVdf` will be ignored.', 'The contents of STEAM_HOME/config/config.vdf. Required if `totp` is not set.', 'The app id within steam partner network.', 'An optional override to specify the ID of the first depot instead of using the app ID plus one.', 'Description for this build.', 'The root path to your builds. This is the base of which depots will search your files.', 'The path to depot1.', 'The path to the install script for depot1.', 'The path to depot2.', 'The path to the install script for depot2.', 'The path to depot3.', 'The path to the install script for depot3.', 'The path to depot4.', 'The path to the install script for depot4.', 'The path to depot5.', 'The path to the install script for depot5.', 'The path to depot6.', 'The path to the install script for depot6.', 'The path to depot7.', 'The path to the install script for depot7.', 'The path to depot8.', 'The path to the install script for depot8.', 'The path to depot9.', 'The path to the install script for depot9.', 'The branch within steam that this build will be automatically put live on.', 'If set to true, include debug symbols and directories in the upload', 'The path to the generated manifest.vdf', 'The Steam BuildID of the uploaded build']",Organization,True,False,False,2020-05-02,2026-04-24,Github Action to deploy a game to Steam,329.0,v0.1,2021-02-23,v3.2.0,2025-11-17,False,"[{'name': 'Steam - Deploy', 'author': 'Webber Takken <webber@takken.io>', 'description': 'Deploy game builds to Steam using the SteamSDK.', 'inputs': {'username': {'required': True, 'default': '', 'description': 'The username of your builder account.'}, 'password': {'required': False, 'description': 'The password of your builder account. Required if `totp` is set.'}, 'totp': {'required': False, 'description': 'The TOTP to use for login. If set, `configVdf` will be ignored.'}, 'configVdf': {'required': False, 'description': 'The contents of STEAM_HOME/config/config.vdf. Required if `totp` is not set.'}, 'appId': {'required': True, 'default': '', 'description': 'The app id within steam partner network.'}, 'firstDepotIdOverride': {'required': False, 'description': 'An optional override to specify the ID of the first depot instead of using the app ID plus one.'}, 'buildDescription': {'required': False, 'description': 'Description for this build.'}, 'rootPath': {'required': False, 'description': 'The root path to your builds. This is the base of which depots will search your files.'}, 'depot1Path': {'required': False, 'description': 'The path to depot1.'}, 'depot1InstallScriptPath': {'required': False, 'description': 'The path to the install script for depot1.'}, 'depot2Path': {'required': False, 'description': 'The path to depot2.'}, 'depot2InstallScriptPath': {'required': False, 'description': 'The path to the install script for depot2.'}, 'depot3Path': {'required': False, 'description': 'The path to depot3.'}, 'depot3InstallScriptPath': {'required': False, 'description': 'The path to the install script for depot3.'}, 'depot4Path': {'required': False, 'description': 'The path to depot4.'}, 'depot4InstallScriptPath': {'required': False, 'description': 'The path to the install script for depot4.'}, 'depot5Path': {'required': False, 'description': 'The path to depot5.'}, 'depot5InstallScriptPath': {'required': False, 'description': 'The path to the install script for depot5.'}, 'depot6Path': {'required': False, 'description': 'The path to depot6.'}, 'depot6InstallScriptPath': {'required': False, 'description': 'The path to the install script for depot6.'}, 'depot7Path': {'required': False, 'description': 'The path to depot7.'}, 'depot7InstallScriptPath': {'required': False, 'description': 'The path to the install script for depot7.'}, 'depot8Path': {'required': False, 'description': 'The path to depot8.'}, 'depot8InstallScriptPath': {'required': False, 'description': 'The path to the install script for depot8.'}, 'depot9Path': {'required': False, 'description': 'The path to depot9.'}, 'depot9InstallScriptPath': {'required': False, 'description': 'The path to the install script for depot9.'}, 'releaseBranch': {'required': False, 'description': 'The branch within steam that this build will be automatically put live on.'}, 'debugBranch': {'required': False, 'description': 'If set to true, include debug symbols and directories in the upload', 'default': False}}, 'outputs': {'manifest': {'description': 'The path to the generated manifest.vdf'}, 'buildId': {'description': 'The Steam BuildID of the uploaded build'}}, 'runs': {'using': 'docker', 'image': 'Dockerfile', 'env': {'steam_username': '${{ inputs.username }}', 'steam_password': '${{ inputs.password }}', 'steam_totp': '${{ inputs.totp }}', 'configVdf': '${{ inputs.configVdf }}', 'appId': '${{ inputs.appId }}', 'firstDepotIdOverride': '${{ inputs.firstDepotIdOverride }}', 'buildDescription': '${{ inputs.buildDescription }}', 'rootPath': '${{ inputs.rootPath }}', 'depot1Path': '${{ inputs.depot1Path }}', 'depot1InstallScriptPath': '${{ inputs.depot1InstallScriptPath }}', 'depot2Path': '${{ inputs.depot2Path }}', 'depot2InstallScriptPath': '${{ inputs.depot2InstallScriptPath }}', 'depot3Path': '${{ inputs.depot3Path }}', 'depot3InstallScriptPath': '${{ inputs.depot3InstallScriptPath }}', 'depot4Path': '${{ inputs.depot4Path }}', 'depot4InstallScriptPath': '${{ inputs.depot4InstallScriptPath }}', 'depot5Path': '${{ inputs.depot5Path }}', 'depot5InstallScriptPath': '${{ inputs.depot5InstallScriptPath }}', 'depot6Path': '${{ inputs.depot6Path }}', 'depot6InstallScriptPath': '${{ inputs.depot6InstallScriptPath }}', 'depot7Path': '${{ inputs.depot7Path }}', 'depot7InstallScriptPath': '${{ inputs.depot7InstallScriptPath }}', 'depot8Path': '${{ inputs.depot8Path }}', 'depot8InstallScriptPath': '${{ inputs.depot8InstallScriptPath }}', 'depot9Path': '${{ inputs.depot9Path }}', 'depot9InstallScriptPath': '${{ inputs.depot9InstallScriptPath }}', 'releaseBranch': '${{ inputs.releaseBranch }}', 'debugBranch': '${{ inputs.debugBranch }}'}}}]",,,"['\n    ""Deploy game builds to Steam"",\n    ""Login to Steam using username and password"",\n    ""Use TOTP for login"",\n    ""Use config.vdf for login"",\n    ""Specify app id within steam partner network"",\n    ""Override depot ID"",\n    ""Add build description"",\n    ""Specify root path to builds"",\n    ""Specify depot paths"",\n    ""Specify install script paths"",\n    ""Automatically put build live on a branch"",\n    ""Include debug symbols and directories in upload"",\n    ""Generate manifest.vdf"",\n    ""Get Steam BuildID of uploaded build""\n']",['deploy game build steam login steam using username password use totp login use configvdf login specify app id within steam partner network override depot id add build description specify root path build specify depot path specify install script path automatically put build live branch include debug symbol directory upload generate manifestvdf get steam buildid uploaded build']
