action_name,matched_key,bucket,claude_verdict,http_verdict,final_verdict
architect/action-deploy,architect/action-deploy,maybe,y,n,
arduino/setup-arduino-cli,arduino/setup-arduino-cli,maybe,y,n,
arista-netdevops-community/action-molecule-avd,arista-netdevops-community/action-molecule-avd,maybe,y,n,
arlyon/cargo,arlyon/cargo,maybe,y,n,
asarium/clang-tidy-action,asarium/clang-tidy-action,maybe,y,n,
asdf-vm/actions/setup,asdf-vm/actions,maybe,y,n,
ashley-taylor/junit-report-annotations-action,ashley-taylor/junit-report-annotations-action,maybe,y,n,
atomicjar/testcontainers-cloud-setup-action,atomicjar/testcontainers-cloud-setup-action,maybe,y,n,
author/action-autotag,author/action-autotag,maybe,y,n,
avsm/setup-ocaml,avsm/setup-ocaml,maybe,y,n,
azure/appservice-actions/webapp,azure/appservice-actions,maybe,y,n,
azure/webapps-container-deploy,azure/webapps-container-deploy,maybe,y,n,
baerwang/mysql-action,baerwang/mysql-action,maybe,y,n,
balena-io/balena-ci,balena-io/balena-ci,maybe,y,n,
becheran/mlc,becheran/mlc,maybe,y,n,
beckermr/turnstyle-python,beckermr/turnstyle-python,maybe,y,n,
bflad/tfproviderlint-github-action,bflad/tfproviderlint-github-action,maybe,y,n,
bilelmoussaoui/flatpak-github-actions,bilelmoussaoui/flatpak-github-actions,maybe,y,n,
blaggacao/nix-quick-install-action,blaggacao/nix-quick-install-action,maybe,y,n,
bluefireteam/flutter-gh-pages,bluefireteam/flutter-gh-pages,maybe,y,n,
bramstroker/json-schema-validator,bramstroker/json-schema-validator,maybe,y,n,
brandonc/go-test-split-action,brandonc/go-test-split-action,maybe,y,n,
buildjet/cache,buildjet/cache,maybe,y,n,
buildjet/cache/restore,buildjet/cache,maybe,y,n,
buildjet/cache/save,buildjet/cache,maybe,y,n,
buildjet/setup-go,buildjet/setup-go,maybe,y,n,
buildjet/setup-node,buildjet/setup-node,maybe,y,n,
buildjet/setup-python,buildjet/setup-python,maybe,y,n,
buildthedocs/btd,buildthedocs/btd,maybe,y,n,
cackle-rs/cackle-action,cackle-rs/cackle-action,maybe,y,n,
caizixian/tarpaulin,caizixian/tarpaulin,maybe,y,n,
camunda-community-hub/community-action-maven-release,camunda-community-hub/community-action-maven-release,maybe,y,n,
canonical/setup-lxd,canonical/setup-lxd,maybe,y,n,
cedx/setup-dart,cedx/setup-dart,maybe,y,n,
chaos-mesh/chaos-mesh-actions,chaos-mesh/chaos-mesh-actions,maybe,y,n,
che-incubator/che-deploy-action,che-incubator/che-deploy-action,maybe,y,n,
chevdor/srtool-actions,chevdor/srtool-actions,maybe,y,n,
clementine-player/clang-format-lint-action,clementine-player/clang-format-lint-action,maybe,y,n,
cocoa-xu/cuda-toolkit,cocoa-xu/cuda-toolkit,maybe,y,n,
codecov/codecov-actions,codecov/codecov-actions,maybe,y,n,
coderpatros/upload-bom-to-dependency-track,coderpatros/upload-bom-to-dependency-track,maybe,y,n,
common-fate/prettier-action,common-fate/prettier-action,maybe,y,n,
compnerd/gha-setup-swift,compnerd/gha-setup-swift,maybe,y,n,
conchylicultor/pypi-build-publish,conchylicultor/pypi-build-publish,maybe,y,n,
conda-incubator/setup-conda,conda-incubator/setup-conda,maybe,y,n,
cornellius-gp/conda-package-publish-action,cornellius-gp/conda-package-publish-action,maybe,y,n,
craftech-io/slack-action,craftech-io/slack-action,maybe,y,n,
crazy-max/ghaction-docker-buildx,crazy-max/ghaction-docker-buildx,maybe,y,n,yes
crazy-max/ghaction-docker-buildx-bake,crazy-max/ghaction-docker-buildx-bake,maybe,y,n,yes
crazy-max/ghaction-docker-login,crazy-max/ghaction-docker-login,maybe,y,n,yes
crazy-max/ghaction-docker-meta,crazy-max/ghaction-docker-meta,maybe,y,n,yes
crazy-max/ghaction-goreleaser,crazy-max/ghaction-goreleaser,maybe,y,n,yes
csexton/debugger-action,csexton/debugger-action,maybe,y,n,
cygwin/cygwin-install-action,cygwin/cygwin-install-action,maybe,y,n,
dagger/dagger-action,dagger/dagger-action,maybe,y,n,
daniellockyer/action-slack-build,daniellockyer/action-slack-build,maybe,y,n,
danubetech/github-action-maven-deploy,danubetech/github-action-maven-deploy,maybe,y,n,
dart-code-checker/dart-code-metrics-action,dart-code-checker/dart-code-metrics-action,maybe,y,n,
dbfx/github-phplint/5.5,dbfx/github-phplint,maybe,y,n,
dbfx/github-phplint/5.6,dbfx/github-phplint,maybe,y,n,
deepsourcelabs/test-coverage-action,deepsourcelabs/test-coverage-action,maybe,y,n,
deliverybot/status,deliverybot/status,maybe,y,n,
denolib/setup-deno,denolib/setup-deno,maybe,y,n,
deployphp/action,deployphp/action,maybe,y,n,
derberg/action-semantic-pull-request,derberg/action-semantic-pull-request,maybe,y,n,
devbotsxyz/import-signing-certificate,devbotsxyz/import-signing-certificate,maybe,y,n,
devbotsxyz/xcode-archive,devbotsxyz/xcode-archive,maybe,y,n,
devbotsxyz/xcode-export-archive,devbotsxyz/xcode-export-archive,maybe,y,n,
devbotsxyz/xcode-import-certificate,devbotsxyz/xcode-import-certificate,maybe,y,n,
devbotsxyz/xcode-notarize,devbotsxyz/xcode-notarize,maybe,y,n,
devbotsxyz/xcode-select,devbotsxyz/xcode-select,maybe,y,n,
devbotsxyz/xcode-staple,devbotsxyz/xcode-staple,maybe,y,n,
diddlesnaps/snapcraft-review-tools-action,diddlesnaps/snapcraft-review-tools-action,maybe,y,n,
diningphil/python-interrogate-check,diningphil/python-interrogate-check,maybe,y,n,
docker/login,docker/login,maybe,y,n,
docker/metadata=action,docker/metadata=action,maybe,y,n,
docker/setup-qemu-action27d0a4f181a40b142cce983c5393082c365d1480,docker/setup-qemu-action27d0a4f181a40b142cce983c5393082c365d1480,maybe,y,n,
dotnet/code-analysis,dotnet/code-analysis,maybe,y,n,
dracutdevs/commisery-action,dracutdevs/commisery-action,maybe,y,n,
dschep/install-pipenv-action,dschep/install-pipenv-action,maybe,y,n,
dschep/install-poetry-action,dschep/install-poetry-action,maybe,y,n,
dtolnay/toolchain,dtolnay/toolchain,maybe,y,n,
ec-/action-automatic-releases,ec-/action-automatic-releases,maybe,y,n,
edgarrmondragon/commitizen-action,edgarrmondragon/commitizen-action,maybe,y,n,
edgedb/setup-edgedb,edgedb/setup-edgedb,maybe,y,n,
elstudio/actions-js-build/commit,elstudio/actions-js-build,maybe,y,n,
enarx/commisery-action,enarx/commisery-action,maybe,y,n,
endel/npm-publish-action,endel/npm-publish-action,maybe,y,n,
enthought/setup-edm-action,enthought/setup-edm-action,maybe,y,n,
equeim/action-cmake-build,equeim/action-cmake-build,maybe,y,n,
equeim/clang-cl-problem-matcher,equeim/clang-cl-problem-matcher,maybe,y,n,
equeim/kotlin-problem-matcher,equeim/kotlin-problem-matcher,maybe,y,n,
eregon/use-ruby-action,eregon/use-ruby-action,maybe,y,n,
erlef/setup-elixir,erlef/setup-elixir,maybe,y,n,
erwin1/code-sign-action,erwin1/code-sign-action,maybe,y,n,
erwin1/xcode-notarize,erwin1/xcode-notarize,maybe,y,n,
eskatos/gradle-command-action,eskatos/gradle-command-action,maybe,y,n,
eugene-babichenko/audit-check,eugene-babichenko/audit-check,maybe,y,n,
ewjoachim/python-coverage-comment-action,ewjoachim/python-coverage-comment-action,maybe,y,n,
exoplanet-dev/coveralls-python-action,exoplanet-dev/coveralls-python-action,maybe,y,n,
ezraberch/action-swiftlint,ezraberch/action-swiftlint,maybe,y,n,
facebook_auth_platform_interface/codecov/codecov-action,facebook_auth_platform_interface/codecov,maybe,y,n,
fairwindsops/polaris,fairwindsops/polaris,maybe,y,n,
felixfontein/ansible-test-gh-action,felixfontein/ansible-test-gh-action,maybe,y,n,
fernandrone/linelint,fernandrone/linelint,maybe,y,n,
ffurrer2/bats-action,ffurrer2/bats-action,maybe,y,n,
fheroes2/clang-tidy-pr-comments,fheroes2/clang-tidy-pr-comments,maybe,y,n,
filiptronicek/get-last-job-status,filiptronicek/get-last-job-status,maybe,y,n,
findologic/intellij-format-action,findologic/intellij-format-action,maybe,y,n,
fish-actions/format-check,fish-actions/format-check,maybe,y,n,
fish-actions/syntax-check,fish-actions/syntax-check,maybe,y,n,
flarum/action-build,flarum/action-build,maybe,y,n,
fluidattacks/makes,fluidattacks/makes,maybe,y,n,
fmrico/action-ros-ci,fmrico/action-ros-ci,maybe,y,n,
foo-software/lighthouse-check-status-action,foo-software/lighthouse-check-status-action,maybe,y,n,
foojayio/setup-java,foojayio/setup-java,maybe,y,n,
fortify/gha-setup-scancentral-client,fortify/gha-setup-scancentral-client,maybe,y,n,
fwal/setup-swift,fwal/setup-swift,maybe,y,n,
gabrieldemarmiesse/clang-format-lint-action,gabrieldemarmiesse/clang-format-lint-action,maybe,y,n,
gacts/upx,gacts/upx,maybe,y,n,
galaxyproject/planemo-ci-action,galaxyproject/planemo-ci-action,maybe,y,n,
garronej/ts-ci,garronej/ts-ci,maybe,y,n,
gaurav-nelson/github-action-markdown-link-checkv1,gaurav-nelson/github-action-markdown-link-checkv1,maybe,y,n,
gazebo-tooling/action-gz-ci,gazebo-tooling/action-gz-ci,maybe,y,n,
getong/elasticsearch-action,getong/elasticsearch-action,maybe,y,n,
getong/rabbitmq-action,getong/rabbitmq-action,maybe,y,n,
getong/redis-action,getong/redis-action,maybe,y,n,
getsentry/action-wait-for-check,getsentry/action-wait-for-check,maybe,y,n,
getsentry/size-limit-action,getsentry/size-limit-action,maybe,y,n,
ghys/checkstyle-github-action,ghys/checkstyle-github-action,maybe,y,n,
gimenete/eslint-action,gimenete/eslint-action,maybe,y,n,
github/codeql-action/autobuild,github/codeql-action,maybe,y,n,
github/licensed-ci,github/licensed-ci,maybe,y,n,
github/ossar-action,github/ossar-action,maybe,y,n,
github/super-linter,github/super-linter,maybe,y,n,
github/super-linter/slim,github/super-linter,maybe,y,n,
github/webpack-bundlesize-compare-action,github/webpack-bundlesize-compare-action,maybe,y,n,
glacambre/action-compare-coverage,glacambre/action-compare-coverage,maybe,y,n,
glennawatson/coverlet-msbuild,glennawatson/coverlet-msbuild,maybe,y,n,
gnuradio/clang-format-lint-action,gnuradio/clang-format-lint-action,maybe,y,n,
goanpeca/setup-miniconda,goanpeca/setup-miniconda,maybe,y,n,
goreleaser/goreleaser-actions,goreleaser/goreleaser-actions,maybe,y,n,
gradle/gradle-build-actions,gradle/gradle-build-actions,maybe,y,n,
gradle/gradle-command-action,gradle/gradle-command-action,maybe,y,n,
gravity-ui/preview-deploy-action,gravity-ui/preview-deploy-action,maybe,y,n,
guyarb/golang-test-annoations,guyarb/golang-test-annoations,maybe,y,n,
guybedford/chomp-action,guybedford/chomp-action,maybe,y,n,
hallee/eslint-action,hallee/eslint-action,maybe,y,n,
hanabi1224/cache-cargo-bin-action,hanabi1224/cache-cargo-bin-action,maybe,y,n,
hannesa2/action-android/emulator-run-cmd,hannesa2/action-android,maybe,y,n,
hansl/conventional-pr-title-action,hansl/conventional-pr-title-action,maybe,y,n,
harupy/find-trailing-whitespace,harupy/find-trailing-whitespace,maybe,y,n,
hashicorp-forge/go-test-split-action,hashicorp-forge/go-test-split-action,maybe,y,n,
hashicorp/packer-github-actions,hashicorp/packer-github-actions,maybe,y,n,
hashicorp/tfc-workflows-github/actions/apply-run,hashicorp/tfc-workflows-github,maybe,y,n,
hashicorp/tfc-workflows-github/actions/create-run,hashicorp/tfc-workflows-github,maybe,y,n,
hashicorp/tfc-workflows-github/actions/plan-output,hashicorp/tfc-workflows-github,maybe,y,n,
hashicorp/tfc-workflows-github/actions/upload-configuration,hashicorp/tfc-workflows-github,maybe,y,n,
haskell/actions/hlint-run,haskell/actions,maybe,y,n,
haveyoudebuggedit/gotestfmt-action,haveyoudebuggedit/gotestfmt-action,maybe,y,n,
ho-nl/next-bundlesize-action,ho-nl/next-bundlesize-action,maybe,y,n,
homoluctus/gitrivy,homoluctus/gitrivy,maybe,y,n,
homoluctus/slatify,homoluctus/slatify,maybe,y,n,
https://github.com/actions/setup-python,https:/github.com,maybe,y,n,
https://github.com/appleboy/scp-action,https:/github.com,maybe,y,n,
https://github.com/appleboy/ssh-action,https:/github.com,maybe,y,n,
https://github.com/docker/build-push-action,https:/github.com,maybe,y,n,
https://github.com/docker/login-action,https:/github.com,maybe,y,n,
https://github.com/docker/setup-buildx-action,https:/github.com,maybe,y,n,
https://github.com/docker/setup-qemu-action,https:/github.com,maybe,y,n,
https://github.com/pypa/gh-action-pypi-publish,https:/github.com,maybe,y,n,
ianwalter/puppeteer,ianwalter/puppeteer,maybe,y,n,
icanhazstring/composer-unused-ga,icanhazstring/composer-unused-ga,maybe,y,n,
icepuma/rust-action,icepuma/rust-action,maybe,y,n,
immel-f/github-actions-report-lcov,immel-f/github-actions-report-lcov,maybe,y,n,
innovationnorway/setup-vault,innovationnorway/setup-vault,maybe,y,n,
instrumenta/kubeval-action,instrumenta/kubeval-action,maybe,y,n,
int128/aqua-action,int128/aqua-action,maybe,y,n,
int128/buildx-push-action,int128/buildx-push-action,maybe,y,n,
int128/docker-build-cache-config-action,int128/docker-build-cache-config-action,maybe,y,n,
ipfs-shipyard/ipfs-github-action,ipfs-shipyard/ipfs-github-action,maybe,y,n,
iresearch-toolkit/clang-format-action,iresearch-toolkit/clang-format-action,maybe,y,n,
isbang/setup-awscli,isbang/setup-awscli,maybe,y,n,
iterative/setup-dvc,iterative/setup-dvc,maybe,y,n,
jackton1/find-changed-files,jackton1/find-changed-files,maybe,y,n,
jaid/action-npm-install,jaid/action-npm-install,maybe,y,n,
jamescurtin/isort-action,jamescurtin/isort-action,maybe,y,n,
jameshenry/nx-tag-successful-ci-run,jameshenry/nx-tag-successful-ci-run,maybe,y,n,
jasonwilliams/criterion-compare-action,jasonwilliams/criterion-compare-action,maybe,y,n,
jaxxstorm/action-docker-build,jaxxstorm/action-docker-build,maybe,y,n,
jbolda/covector/packages/action,jbolda/covector,maybe,y,n,
jen20/action-docker-build,jen20/action-docker-build,maybe,y,n,
jenkins-infra/verify-ci-status-action,jenkins-infra/verify-ci-status-action,maybe,y,n,
jhenstridge/snapcraft-build-action,jhenstridge/snapcraft-build-action,maybe,y,n,
jitsecurity-controls/jit-github-action,jitsecurity-controls/jit-github-action,maybe,y,n,
joerick/cibuildwheel,joerick/cibuildwheel,maybe,y,n,
johanneswilm/coveralls-python-action,johanneswilm/coveralls-python-action,maybe,y,n,
johnpryan/dart-coverage-action,johnpryan/dart-coverage-action,maybe,y,n,
jonabc/licensed-ci,jonabc/licensed-ci,maybe,y,n,
jonabc/setup-licensed,jonabc/setup-licensed,maybe,y,n,
jonaseberle/github-action-setup-ddev,jonaseberle/github-action-setup-ddev,maybe,y,n,
joonvena/robotframework-reporter-action,joonvena/robotframework-reporter-action,maybe,y,n,
josh146/sphinx-action,josh146/sphinx-action,maybe,y,n,
joshgummersall/dispatch-workflow,joshgummersall/dispatch-workflow,maybe,y,n,
jossef/action-semantic-releaser,jossef/action-semantic-releaser,maybe,y,n,
jpkrohling/setup-operator-sdk,jpkrohling/setup-operator-sdk,maybe,y,n,
jpribyl/action-docker-layer-caching,jpribyl/action-docker-layer-caching,maybe,y,n,
jsiwek/ci-email-action,jsiwek/ci-email-action,maybe,y,n,
julia-actions/julia-processcoverage,julia-actions/julia-processcoverage,maybe,y,n,
juntyr/criterion-compare-action,juntyr/criterion-compare-action,maybe,y,n,
justincy/github-action-npm-release,justincy/github-action-npm-release,maybe,y,n,
jvalkeal/build-zoo-handler,jvalkeal/build-zoo-handler,maybe,y,n,
k14s/setup-k14s-action,k14s/setup-k14s-action,maybe,y,n,
kamiazya/setup-graphviz,kamiazya/setup-graphviz,maybe,y,n,
keep-network/golint-action,keep-network/golint-action,maybe,y,n,
keithnull/tencent-cloud-cdn-purge-cache,keithnull/tencent-cloud-cdn-purge-cache,maybe,y,n,
kenjdavidson/gatsby-gh-pages-action,kenjdavidson/gatsby-gh-pages-action,maybe,y,n,
keptn/gh-action-send-event,keptn/gh-action-send-event,maybe,y,n,
kewisch/action-thunderbird-tests,kewisch/action-thunderbird-tests,maybe,y,n,
klever1988/cachewrtbuild,klever1988/cachewrtbuild,maybe,y,n,
kotest/kotest-action,kotest/kotest-action,maybe,y,n,
kring/test-reporter,kring/test-reporter,maybe,y,n,
kristof-mattei/clippy-check,kristof-mattei/clippy-check,maybe,y,n,
kt3k/license_checker,kt3k/license_checker,maybe,y,n,
kvrhdn/gha-buildevents,kvrhdn/gha-buildevents,maybe,y,n,
lablabs/setup-tflint,lablabs/setup-tflint,maybe,y,n,
lazy-actions/slatify,lazy-actions/slatify,maybe,y,n,
little-core-labs/get-git-tag,little-core-labs/get-git-tag,maybe,y,n,
llde/ghaction-virustotal,llde/ghaction-virustotal,maybe,y,n,
logtalk-actions/setup-logtalk,logtalk-actions/setup-logtalk,maybe,y,n,
ludeeus/action-ha-config-check,ludeeus/action-ha-config-check,maybe,y,n,
luisherranz/eslint-plus-action,luisherranz/eslint-plus-action,maybe,y,n,
machine-learning-apps/gpr-docker-publish,machine-learning-apps/gpr-docker-publish,maybe,y,n,
machine-learning-apps/repo2docker-action,machine-learning-apps/repo2docker-action,maybe,y,n,
madhead/semver-utils,madhead/semver-utils,maybe,y,n,
malinskiy/action-android/emulator-run-cmd,malinskiy/action-android,maybe,y,n,
malinskiy/action-android/install-sdk,malinskiy/action-android,maybe,y,n,
malinthaprasan/action-surefire-report,malinthaprasan/action-surefire-report,maybe,y,n,
manics/action-k3s-helm,manics/action-k3s-helm,maybe,y,n,
marcprux/setup-swift,marcprux/setup-swift,maybe,y,n,
marip8/industrial_ci,marip8/industrial_ci,maybe,y,n,
marmelab/greenframe-action,marmelab/greenframe-action,maybe,y,n,
masterleinad/gitlab-mirror-and-ci-action,masterleinad/gitlab-mirror-and-ci-action,maybe,y,n,
matchai/criterion-compare-action,matchai/criterion-compare-action,maybe,y,n,
matrix-org/github-action-benchmark,matrix-org/github-action-benchmark,maybe,y,n,
maxdesiatov/danger-swift,maxdesiatov/danger-swift,maybe,y,n,
maxim-lobanov/setup-android-tools,maxim-lobanov/setup-android-tools,maybe,y,n,
mayadata-io/github-chaos-actions,mayadata-io/github-chaos-actions,maybe,y,n,
mayk-it/action-swiftlint,mayk-it/action-swiftlint,maybe,y,n,
megalinter/megalinter,megalinter/megalinter,maybe,y,n,
megalinter/megalinter/flavors/documentation,megalinter/megalinter,maybe,y,n,
megalinter/megalinter/flavors/dotnet,megalinter/megalinter,maybe,y,n,
megalinter/megalinter/flavors/go,megalinter/megalinter,maybe,y,n,
megalinter/megalinter/flavors/javascript,megalinter/megalinter,maybe,y,n,
megalinter/megalinter/flavors/python,megalinter/megalinter,maybe,y,n,
messense/maturin-action,messense/maturin-action,maybe,y,n,
meteorengineer/setup-meteor,meteorengineer/setup-meteor,maybe,y,n,
mflaxman/black-action,mflaxman/black-action,maybe,y,n,
mhanberg/gigalixir-action,mhanberg/gigalixir-action,maybe,y,n,
mheap/phpunit-matcher-action,mheap/phpunit-matcher-action,maybe,y,n,
microsoft/accessibility-insights-action,microsoft/accessibility-insights-action,maybe,y,n,
microsoft/variable-substitution,microsoft/variable-substitution,maybe,y,n,
microsoft/vstest-action,microsoft/vstest-action,maybe,y,n,
mizuka-wu/gitee-pages-action,mizuka-wu/gitee-pages-action,maybe,y,n,
mktcode/consecutive-workflow-action,mktcode/consecutive-workflow-action,maybe,y,n,
mmp/cuda-toolkit,mmp/cuda-toolkit,maybe,y,n,
moderntribe/action-tribe-phpcs,moderntribe/action-tribe-phpcs,maybe,y,n,
modmuss50/xvfb-action,modmuss50/xvfb-action,maybe,y,n,
mooyoul/tslint-actions,mooyoul/tslint-actions,maybe,y,n,
mozilla/action-automatic-releases,mozilla/action-automatic-releases,maybe,y,n,
mpi4py/setup-mpi,mpi4py/setup-mpi,maybe,y,n,
mrousavy/clang-format-action,mrousavy/clang-format-action,maybe,y,n,
myci-actions/install-coapp-tools,myci-actions/install-coapp-tools,maybe,y,n,
myoung34/gpr-docker-publish,myoung34/gpr-docker-publish,maybe,y,n,
myungjoo/run-on-arch-action,myungjoo/run-on-arch-action,maybe,y,n,
nais/docker-build-push,nais/docker-build-push,maybe,y,n,
naminodarie/get-net-sdk-project-versions-action,naminodarie/get-net-sdk-project-versions-action,maybe,y,n,
nearform-actions/github-action-check-linked-issues,nearform-actions/github-action-check-linked-issues,maybe,y,n,
nearform-actions/optic-release-automation-action,nearform-actions/optic-release-automation-action,maybe,y,n,
nearform/github-action-check-linked-issues,nearform/github-action-check-linked-issues,maybe,y,n,
nearform/optic-release-automation,nearform/optic-release-automation,maybe,y,n,
necolas/compressed-size-action,necolas/compressed-size-action,maybe,y,n,
netfoundry/ziti-ci,netfoundry/ziti-ci,maybe,y,n,
nextcloud-releases/nextcloud-appstore-push-action,nextcloud-releases/nextcloud-appstore-push-action,maybe,y,n,
nexus-actions/drop-nexus-staging-repo,nexus-actions/drop-nexus-staging-repo,maybe,y,n,
nexus-actions/release-nexus-staging-repo,nexus-actions/release-nexus-staging-repo,maybe,y,n,
nick-invision/assert-action,nick-invision/assert-action,maybe,y,n,
nick-invision/retry,nick-invision/retry,maybe,y,n,
nikeee/setup-pandoc,nikeee/setup-pandoc,maybe,y,n,
nitz/publish-nuget,nitz/publish-nuget,maybe,y,n,
nixbuild/nixbuild-action,nixbuild/nixbuild-action,maybe,y,n,
nrwl/last-successful-commit-action,nrwl/last-successful-commit-action,maybe,y,n,
nvuillam/mega-linter,nvuillam/mega-linter,maybe,y,n,
nvuillam/mega-linter/flavors/documentation,nvuillam/mega-linter,maybe,y,n,
nvuillam/mega-linter/flavors/javascript,nvuillam/mega-linter,maybe,y,n,
nvuillam/mega-linter/flavors/python,nvuillam/mega-linter,maybe,y,n,
nwtgck/actions-netlify,nwtgck/actions-netlify,maybe,y,n,
nyaruka/elasticsearch-action,nyaruka/elasticsearch-action,maybe,y,n,
nyaruka/postgis-action,nyaruka/postgis-action,maybe,y,n,
oasdiff/oasdiff-action/breaking,oasdiff/oasdiff-action,maybe,y,n,
oknozor/cocogitto-action,oknozor/cocogitto-action,maybe,y,n,
onbjerg/foundry-toolchain,onbjerg/foundry-toolchain,maybe,y,n,
open-watcom/setup-watcom,open-watcom/setup-watcom,maybe,y,n,
openrndr/setup-opengl,openrndr/setup-opengl,maybe,y,n,
pajlads/changelog-checker,pajlads/changelog-checker,maybe,y,n,
pantsbuild/actions/init-pants,pantsbuild/actions,maybe,y,n,
papertigers/illumos-vm,papertigers/illumos-vm,maybe,y,n,
passy/tag-version-commit,passy/tag-version-commit,maybe,y,n,
paularmstrong/build-tracker-action,paularmstrong/build-tracker-action,maybe,y,n,
peiffer-innovations/actions-flutter-deploy-pages,peiffer-innovations/actions-flutter-deploy-pages,maybe,y,n,
peiffer-innovations/actions-flutter-validate,peiffer-innovations/actions-flutter-validate,maybe,y,n,
pepibumur/action-swiftlint,pepibumur/action-swiftlint,maybe,y,n,
percy/exec-action,percy/exec-action,maybe,y,n,
percy/snapshot-action,percy/snapshot-action,maybe,y,n,
percy/storybook-action,percy/storybook-action,maybe,y,n,
peter-evans/link-checker,peter-evans/link-checker,maybe,y,n,
petermetz/gh-action-dci-lint,petermetz/gh-action-dci-lint,maybe,y,n,
philips-labs/slsa-provenance-action,philips-labs/slsa-provenance-action,maybe,y,n,
pi-top/action-debian-package,pi-top/action-debian-package,maybe,y,n,
pixeldesu/action-stylelint,pixeldesu/action-stylelint,maybe,y,n,
pkgcore/pkgcheck-action,pkgcore/pkgcheck-action,maybe,y,n,
pkgxdev/setup,pkgxdev/setup,maybe,y,n,
pllim/action-skip-ci,pllim/action-skip-ci,maybe,y,n,
porcellus/size-limit-action,porcellus/size-limit-action,maybe,y,n,
porter-dev/porter-preview-action,porter-dev/porter-preview-action,maybe,y,n,
porter-dev/porter-update-action,porter-dev/porter-update-action,maybe,y,n,
porter-dev/porter-update-config-action,porter-dev/porter-update-config-action,maybe,y,n,
postalsys/workflow-webhook,postalsys/workflow-webhook,maybe,y,n,
preactjs/gzip-size-action,preactjs/gzip-size-action,maybe,y,n,
precice/setup-precice-action,precice/setup-precice-action,maybe,y,n,
prestashop/github-action-php-lint/5.4,prestashop/github-action-php-lint,maybe,y,n,
